Sarkı_Adı,Enstrümantallik,Ortalama_Enerji
The Colour Of The Harder Styles - Defqon Anthem 2006,0.641,0.715
Happy Hookers (Goes On..),0.839,0.738
The Prophecy - Original,0.65,0.974
The Music Is Moving,0.902,0.993
Magic - Original Mix,0.657,0.925
My House,0.59,0.995
Whispers,0.721,0.955
Countdown,0.683,0.916
Infinity - DJ Phil Ty Rmx,0.529,0.749
Boeren,0.621,0.995
Lost in Dreams - DJ Sequenza Mix 2,0.796,0.887
Bulgarian 2020,0.646,0.941
Godz Powerrr!,0.504,0.963
Angel - Hardstyle Masterz Cut,0.832,0.874
Fistpumpin' - Pro Mix,0.575,0.959
The Shine - Edit,0.854,0.922
Kernkraft 400 - Radio Edit,0.905,0.895
We Like to Party - Radio Edit,0.935,0.909
Wasteland - Dj Thera 2022 Remix,0.888,0.951
Her Voice - Super Bass Mix,0.705,0.594
Vendetta,0.921,0.867
Stay Alive - Original Mix,0.629,0.976
Ghettoblaster - Original Mix,0.9,0.937
Gold - 24K Fix,0.958,0.932
Let's Go! - Original Mix,0.827,0.988
Return To The Source,0.695,0.997
Falling,0.734,0.781
Falling - Radio Mix,0.734,0.781
Spiritual Fire - Original Mix,0.936,0.74
Sunset At Brecht - Original Version,0.829,0.834
Shiverz,0.891,0.966
Lost in Dreams - Alpha² Remix,0.674,0.829
Always Hardcore,0.693,0.964
Escape,0.786,0.927
Les Drums - TBY Remix,0.868,0.682
Blow Your Brainz,0.746,0.77
Mass Hysteria,0.784,0.987
I Can See Now,0.713,0.992
SARIN-33,0.814,0.92
Secret Of The Blade - Brennan Heart & Sound Rush 2017 Remix,0.577,0.935
Keep The Rhythm,0.809,0.786
Generation Kick & Bass,0.89,0.839
Dream,0.618,0.939
Let It Go,0.514,0.873
Follow Your Dreamz - Original Mix,0.59,0.872
Silentium - Original Mix,0.908,0.845
Aja Jippie,0.839,0.984
Bomberman 2017,0.907,0.999
Light Of The Dark - The Blackout Mix,0.71,0.727
Alchemy Of Hardstyle - Radio Edit,0.669,0.947
I Can't Get It Out of My Head - Album Edit,0.919,0.995
Under The Rising Sun,0.875,0.97
Pleasure - Original Mix,0.807,0.827
Hold Up & Come On - Original Mix,0.504,0.996
Dreamers Of Dreamz,0.802,0.921
Black High Heels,0.777,0.801
Ti Sento,0.566,0.837
Wow Wow - Original Mix,0.729,0.965
Gold,0.945,0.718
Sacrifice,0.578,0.965
Tuuduuu - Original Mix,0.942,0.896
Roba Dell'Altro Mondo,0.872,0.872
Raw - Original Mix,0.799,0.958
Bumpin' Hard - Tuneboy Rmx,0.894,0.824
World Of Madness - Defqon.1 Anthem 2012,0.755,0.97
Go Berzerk,0.518,0.991
Cold Fever,0.85,0.824
Outside World 2009 - Outside Spacer Rmx,0.938,0.771
Voyager,0.577,0.901
Hardstyle Preacher,0.784,0.832
Altaria,0.891,0.943
Housensation - Dj Isaac Remix,0.767,0.93
Rock Hypnotic Again - 2011 Refixx,0.798,0.976
Gold - Bioweapon Remix,0.768,0.919
Loops & Things 2010 - Original Mix,0.509,0.904
Chamunda,0.754,0.856
Shock Therapy - Rising Altitude Mix,0.796,0.977
I Survived - Different Edit,0.864,0.733
All For The Thrill - Edit,0.645,0.953
Lets Get Ill,0.503,0.965
Crump,0.811,0.936
Power Hour - Radio Edit,0.744,0.994
Stresstest,0.847,0.992
Classic - Original Edit,0.846,0.959
Odyssey - Extended version,0.595,0.905
Delay Distortion,0.875,0.835
Subsonic - Original Mix,0.537,0.988
Make A Move - Edit,0.608,0.982
Kaya,0.942,0.997
Inner Creativity - Original Edit,0.548,0.845
Funkyman - Radio Version,0.516,0.987
Generation Kick & Bass,0.913,0.859
Believe,0.781,0.861
Chico Callejero,0.879,0.546
Kadonneet kolme sanaa,0.915,0.817
Sólo Para Amarte,0.916,0.632
La Misma Mujer,0.835,0.396
Gente Del Sur,0.666,0.336
One Night in Tokyo,0.691,0.977
El Ultimo Ataque,0.926,0.668
Instruments (Mother earth),0.71,0.587
Rompe El Hechizo,0.879,0.722
Apodado hijo del diablo,0.564,0.973
Metropolio,0.528,0.931
Horizonte Perdido,0.901,0.657
Mujer amante,0.513,0.891
Panzerfaust,0.594,0.985
Pogo al Corazon,0.611,0.984
Ristiriita,0.895,0.907
Fome,0.568,0.987
Shou Ken (Ken Theme)(Street Fighter 2),0.905,0.948
Koe murha,0.948,0.855
En el Bajo Flores,0.706,0.604
De Pismanta a Baucacheta,0.885,0.782
Gta Vice City Theme,0.843,0.783
Minä olen,0.883,0.947
Yö päivää keinuttaa,0.897,0.843
Murheen mailla,0.649,0.933
Erilaisen rakkauden todistaja,0.713,0.777
Vamos a Buscar la Luz,0.886,0.962
Los Ojos del Niño - Bonus Track,0.778,0.95
No te lo puedo decir,0.758,0.477
Me Gustas Mucho,0.605,0.824
Ceibo - En Vivo All Boys,0.944,0.968
Väkivaltakunta,0.963,0.855
Jerusalén,0.897,0.683
Itken seinään päin,0.748,0.508
Blade Runner,0.883,0.974
Obsesión,0.892,0.814
"Tuomittu, syyllinen",0.916,0.859
De Pie - En Vivo,0.808,0.864
Kadun lait,0.655,0.746
No Class,0.827,0.941
Veri valuu maahan,0.862,0.957
Batalla Persa,0.707,0.961
Ya No Sos Igual (En Vivo),0.86,0.939
Tribute to B.B. King,0.533,0.872
La Leyenda del Hada y el Mago - En Vivo,0.683,0.951
Night on Bald Mountain - Live in Wacken 2017,0.927,0.905
Porque Hoy Nací,0.623,0.699
Muerte Astral,0.687,0.673
Scherzo - Live in Wacken 2017,0.828,0.91
Ei kukaan,0.72,0.78
Vientos de Poder,0.564,0.937
Transformers Prime Theme,0.894,0.922
"Metal Squad (From \""Thunder Force IV\"")",0.878,0.965
Necesitamos Mas Acción,0.503,0.711
La Espada Sagrada,0.863,0.951
Días Buenos y Malos,0.64,0.747
Menestys,0.893,0.928
De Pismanta A Bauchaceta,0.876,0.811
Caballo Negro,0.878,0.888
Tempest Of Blades,0.571,0.989
Made of Metal,0.609,0.976
El Último Color Que Cayó del Cielo,0.558,0.659
Priestess of Death,0.845,0.294
Cissy Strut - En Vivo Cosquín Rock,0.861,0.87
Profanador de Tumbas,0.847,0.507
Helvetin Hieno Matka,0.905,0.814
Luova hulluus,0.513,0.974
Soitellen sotaan,0.84,0.92
Rolex Theme - Background Score,0.767,0.925
Who Am I ?,0.535,0.746
Fate,0.579,0.761
Amar Theme - Background Score,0.79,0.724
Fed Up,0.695,0.758
"Soul of Doctor (Theme) [From \""Doctor\""]",0.912,0.837
Moaning Theme - Background Score,0.906,0.71
I'm in the Mood for Love,0.816,0.0648
Friday Night Blues,0.515,0.505
Honey,0.907,0.132
Jelly Roll,0.776,0.379
Black And White Rag,0.869,0.612
Heart and Soul,0.767,0.553
Yes Sir That's My Baby,0.965,0.393
A Walk In The Black Forest,0.838,0.29
Mr. Bojangles,0.942,0.352
"The Old Piano Roll Blues - (Previously titled \""Piano Roll Blues\"") see notes",0.884,0.653
Make Believe,0.84,0.101
Last Date - Instrumental,0.958,0.306
Unchained Melody,0.51,0.172
Down Yonder,0.932,0.654
Dill Pickles Rag,0.901,0.321
The Incredible Hulk,0.944,0.241
Coronation Rag,0.86,0.637
Hi-De-Ho,0.689,0.195
Taquinez les touches!,0.526,0.881
Five Foot Two Eyes of Blue - 2003 Remaster,0.914,0.667
You Win Again,0.555,0.217
The Homestead,0.946,0.228
Flip Flop and Bop,0.87,0.607
Heart And Soul,0.672,0.568
Java,0.523,0.644
Rule Britannia,0.917,0.686
If I Loved You,0.921,0.0832
I'm Looking Over a Four Leaf Clover,0.565,0.805
San Antonio Rose,0.544,0.538
Lonesome Prairie Song,0.842,0.237
Sunrise Serenade - 1989 Remastered,0.797,0.137
Lesson One,0.861,0.87
Kansas City Girl,0.779,0.188
Honky Tonk (Pt.1),0.858,0.77
Show MeThe Way to Go Home - 2003 Remaster,0.889,0.348
Down at the Old Bull and Bush,0.925,0.442
Piano Pops No 1 (Pt. 2) - 2003 Remaster,0.961,0.56
The Old Piano Roll Blues,0.885,0.592
Five Foot Two Eyes Of Blue,0.931,0.815
Out On A Limb,0.948,0.795
Wolverine Blues,0.765,0.386
Darktown Strutters Ball,0.903,0.355
When I Lost You,0.954,0.464
Five Finger Boogie,0.91,0.647
Dynamite Rag,0.759,0.428
San Antonio Rose,0.569,0.48
Georgia on My Mind,0.815,0.127
Tennessee Waltz,0.727,0.159
As Long As He Needs Me,0.853,0.245
Mumble Jumble,0.89,0.764
When You're Smiling - 2003 Remaster,0.958,0.678
Ma (He's Making Eyes at Me) - 2003 Remaster,0.774,0.737
Medley: When You're Smiling / Who Were You with Last Night / Margie,0.946,0.646
Fancy Pants,0.952,0.44
12Th Street Rag,0.887,0.415
Second Hand Rose,0.712,0.398
Maple Leaf Rag,0.913,0.515
Tishomingo Blues,0.91,0.444
Royal Garden Blues,0.701,0.423
Blue Eyes Crying In The Rain,0.78,0.167
The Banjo Beat,0.761,0.708
Breathing,0.557,0.561
Losing It,0.703,0.964
I'll Find My Way to You,0.758,0.474
Dark Light,0.528,0.714
Annie,0.708,0.888
Escalate - HAAi Remix,0.947,0.974
Dope,0.61,0.634
Shadow,0.574,0.631
Time - Alan Walker Remix,0.86,0.893
On My Mind,0.633,0.731
After the Rain - Piano Solo,0.91,0.0971
Ascent,0.897,0.2
Bubbles,0.699,0.66
Adam,0.875,0.508
Clarion - Kiasmos Remix,0.837,0.651
New Grass — piano reworks,0.841,0.271
Thinking Of You Thinking Of Me,0.944,0.306
o9-Silence,0.882,0.251
Memory Arc,0.834,0.204
Praise Brigade,0.922,0.919
Dreamer's Wake,0.902,0.508
Untravel,0.815,0.271
きえたこい,0.852,0.902
Crowd of Stars,0.904,0.34
Vision of Self,0.94,0.389
Syllogistical,0.527,0.501
Do Matter,0.564,0.289
Odyssey,0.893,0.611
Dreamland is Falling Dawn,0.933,0.722
Far From Any Road,0.541,0.49
1979,0.876,0.128
Swashers,0.95,0.67
Kizuna,0.85,0.0512
Ark,0.918,0.0372
Thankyou for Everything,0.91,0.368
Mechanical Advantage,0.955,0.507
You'll Miss Us One Day,0.806,0.145
Outro / If Our Love Was A Movie,0.51,0.222
Sense,0.728,0.239
Tobiume,0.88,0.254
C.A.,0.931,0.452
Forget the Rules,0.83,0.187
Movement Schedule,0.689,0.229
An Infinite Day,0.896,0.179
Kenotaph,0.932,0.261
If You Could Love Someone,0.655,0.137
Out of Phase,0.828,0.589
いとぐち,0.89,0.797
remain,0.828,0.423
Eternal Wings,0.614,0.74
Star Mist,0.609,0.251
Tobiume,0.867,0.257
Elsewhere - The Fade edit,0.757,0.523
Ralome,0.858,0.138
Cry Osaka Cry,0.895,0.718
sequence_01,0.925,0.164
Housedream,0.89,0.86
Running,0.855,0.613
9 Headed Monster,0.804,0.925
Stranger Smiled at Me,0.898,0.744
Saturday Night Worldcup Fieber,0.935,0.82
crystal valley,0.899,0.156
"Goodbye, Goodbye",0.886,0.44
Ocular,0.898,0.136
Fahrenheit Fair Enough,0.769,0.877
Lux,0.893,0.739
Outer Shell,0.921,0.159
Closure,0.867,0.255
Bumpy Lucas,0.957,0.41
Helvetica Calcium,0.88,0.852
Godmother,0.908,0.208
CLOCK,0.822,0.522
Copacetia,0.735,0.58
Syntax,0.876,0.536
Yugen,0.877,0.73
The Corner Of Her Eye,0.875,0.755
うちのばあちゃんの言うことにゃ,0.97,0.524
Element L1,0.805,0.146
Da.vironment,0.91,0.614
Beginnings,0.881,0.452
Low Grav Freefall (High Altitude Mix),0.716,0.821
Fall City,0.94,0.375
Eventually,0.78,0.652
Beauty and the Beast,0.641,0.414
sequence_02,0.911,0.29
"\""Why is a raven like a writing desk?\""",0.718,0.803
Voyage of Excellox,0.908,0.663
Frosch,0.935,0.926
Galahad,0.811,0.976
Now Is,0.769,0.762
Saku,0.893,0.156
Kirakiraboshi,0.965,0.341
Frontiers,0.912,0.591
Nothing Time,0.873,0.708
double flat - max404 mix,0.918,0.726
Letter,0.598,0.569
Monomom,0.838,0.0866
isle of the blest,0.886,0.62
baxter climb,0.927,0.636
W.l.K.,0.809,0.587
A Brief Walk in the Sea,0.925,0.58
Quiet Piece for Bram,0.835,0.271
In Motion,0.913,0.265
Soleiele,0.9,0.487
Love in the 90's,0.944,0.495
Eisenach,0.923,0.25
Naku Uinti,0.84,0.547
Timeless,0.8,0.345
Hand Drawn Maps,0.95,0.492
Penguin Offering Peanuts,0.825,0.772
Paymig,0.923,0.37
Place Gun to Head,0.897,0.416
Mannequin on the Run,0.947,0.864
the backstroke,0.904,0.634
Carrage,0.874,0.52
Melody120,0.916,0.598
Fever Dream B,0.879,0.692
"Come Along, Do",0.895,0.44
まちぶせ,0.847,0.676
Flangeslab,0.781,0.978
HYbr:ID oval collider,0.719,0.187
Cherry Blue Boo,0.707,0.509
poof,0.713,0.219
A Warning,0.912,0.277
Live In Vanilla,0.748,0.669
double flat,0.851,0.686
Gerry Noman,0.976,0.116
Yellow Fountain,0.908,0.532
Azukiiro No Kaori,0.981,0.116
red curb,0.881,0.713
after bonus,0.825,0.776
Scanning,0.872,0.29
Wildness,0.878,0.335
Travel Around Stars,0.948,0.106
Echo Love,0.883,0.789
Arterial,0.76,0.588
Blue Sky And Yellow Sunflower,0.799,0.483
Mansana,0.934,0.168
Bike,0.913,0.61
Icefall,0.951,0.47
Future Hope,0.905,0.78
Key nell 3,0.616,0.953
Thank You For Everything Part II,0.982,0.326
Hasty Boom Alert,0.834,0.858
Brace Yourself Jason,0.932,0.734
Anex - Mixed,0.828,0.79
Liana,0.874,0.595
Hope Shimmer,0.921,0.659
Under the Sea,0.501,0.484
Toy Box,0.959,0.49
Long Tall Eyelash 2018,0.715,0.913
Robertson Mocks,0.836,0.304
Goodnight Vienna,0.883,0.228
Dorieus,0.877,0.315
Mask of Skeleton,0.96,0.505
Links Oben,0.767,0.841
The Deadest Bar,0.873,0.273
Autumn Fog Lifts - Yearbook Version / Remastered,0.853,0.444
You only smiled once,0.581,0.6
Pulses of Information,0.803,0.796
HYbr:ID oval noise,0.899,0.111
Uni Version,0.873,0.394
Shoe Fly,0.85,0.776
Night Melody,0.898,0.505
"Night Scenes, Fireworks, The Heavens",0.64,0.588
All To Get Her,0.881,0.812
Fluid,0.867,0.557
for the twin,0.891,0.913
Wandering,0.61,0.993
josephine,0.734,0.397
Adrift,0.949,0.458
False Dawn,0.741,0.177
If Only,0.846,0.328
The Birds,0.591,0.881
Aquarium,0.951,0.366
Wen,0.932,0.238
A Midsummer Nice Dream,0.936,0.215
"Ghosts, Pt. 1",0.939,0.767
Telefone 529,0.88,0.875
Phett,0.871,0.494
Two Dots,0.711,0.661
Dr Dream,0.918,0.336
Not Enough,0.851,0.7
Melgar,0.975,0.679
HMT - 202 Mix,0.873,0.442
My First Robot,0.886,0.555
海月流戯,0.948,0.197
Kalimeer,0.833,0.533
Pink Lilies,0.811,0.549
Under a Shelter,0.891,0.604
Fertilized,0.896,0.979
Plodder,0.912,0.804
Ithaca,0.847,0.882
Ashes,0.688,0.643
Beaks of Eagles - Fulgeance Remix,0.638,0.695
Hagoromo,0.916,0.0964
Rpeg,0.836,0.81
Eurozone,0.801,0.975
Shipwreck Glue,0.601,0.721
Lemetrom,0.597,0.712
Hydrosphere,0.831,0.369
Making Lake Park In The Sun,0.965,0.754
Recall,0.889,0.631
The Lavender Lullabye,0.956,0.54
Dreams (Mix Cut) - Nicholsons Cathedral Remix,0.869,0.711
Fossil Funk Piano Mix - Live Studio Version,0.91,0.931
Blowfish - Lake People Remix,0.732,0.311
Constant Reminder,0.939,0.373
LFO,0.919,0.747
Serene Awakening,0.842,0.613
Lighthouse,0.908,0.483
Them Is Us,0.828,0.545
Blue,0.844,0.377
Moonlupe,0.971,0.953
Love,0.907,0.376
Herzzatzz,0.859,0.682
Rand Va,0.799,0.967
Kodomotachi,0.911,0.589
Strike,0.958,0.271
Soda's Theme,0.748,0.937
Clipper,0.849,0.864
Cascade Peridot,0.809,0.345
Midnight Love,0.925,0.727
Haunt,0.858,0.712
Be Kind,0.93,0.343
Crucifix,0.836,0.729
Kepler,0.903,0.541
Scope,0.945,0.0606
Uni Normal,0.915,0.58
Plaything,0.83,0.402
We Will Funk You,0.877,0.906
Theme from Lazy Day,0.909,0.34
Untitled,0.927,0.349
Daydream Boy,0.673,0.0284
Brootle,0.835,0.58
Three Strange Ghosts,0.929,0.248
King Dragonfly,0.854,0.784
Diagram VII - 80's Mx,0.857,0.62
Tied Up,0.766,0.98
Manic Thru Tone,0.901,0.696
The Lurch,0.935,0.614
unexpected situations,0.713,0.259
What Is Left,0.819,0.558
Kodomotachi,0.926,0.601
Recovery - Mixed,0.777,0.41
Sudden Awareness of Now,0.838,0.565
Songs of the Nighlife,0.522,0.576
Amiga,0.753,0.847
"A Day, November 2013",0.929,0.231
The Joker of Sadness,0.899,0.244
Aliceband,0.761,0.421
Nascency,0.768,0.554
Azukiiro No Kaori,0.98,0.118
Vladivostok,0.789,0.236
Troidic,0.869,0.754
Paper Unicorn,0.953,0.383
Infinite Bookends,0.896,0.543
Paris Hunt,0.829,0.645
Little_a,0.819,0.668
Seven Signals In The Sky,0.888,0.276
Revolver,0.83,0.754
Back to the Garden,0.914,0.476
Siren Songs - Theme,0.945,0.806
Jerom,0.915,0.625
Frustums,0.965,0.436
Two and a Nine,0.878,0.617
Kaleidoscope,0.87,0.931
Darqcyde,0.835,0.863
Brancaster Coast,0.969,0.228
Sayounara Tsutara,0.824,0.896
Ti Bom,0.898,0.68
Aurora - Mixed,0.955,0.0454
Spine Bubbles,0.926,0.481
Sugar Tree,0.896,0.564
RETROCOGNITION2017,0.612,0.773
Second Scepe,0.933,0.97
Lowerian (Extended Version),0.92,0.792
It's a Small World,0.595,0.472
Deauville - 2022 Remaster,0.604,0.367
Ilasas,0.731,0.555
Melodica,0.967,0.145
Lambs Eye,0.836,0.166
founded,0.826,0.462
Legend of Phaxalot,0.742,0.835
Capsule in Space - Album Mix,0.909,0.837
Pino Pomo,0.937,0.675
Last Remembered Thing,0.831,0.811
Do While ⌘X,0.924,0.251
Stars,0.862,0.479
Requiem,0.921,0.671
owari no kisetsu,0.806,0.662
Eutow,0.904,0.511
Long Long Silk Bridge,0.841,0.633
Outside,0.892,0.297
Freak,0.87,0.964
Dusk,0.715,0.409
No Choice,0.597,0.218
LFO (Leeds Warehouse Mix),0.911,0.849
Breaking the Circle,0.932,0.752
Our Scene,0.857,0.899
Looming,0.847,0.658
Battle Scars,0.885,0.137
"Stars so Bright, My Eyes Hurt",0.972,0.375
Metal Claws,0.935,0.322
Yes! Come Parade With Us,0.764,0.731
New Hope,0.931,0.459
Horizon,0.812,0.567
All the Way Round - Mr Beatnick Remix,0.926,0.689
I Love Acid,0.521,0.872
Gone,0.909,0.281
Not Really - Mixed,0.89,0.97
Uni Mic B,0.885,0.687
Help from Strangers,0.924,0.59
MyLoveILove,0.892,0.0342
Uni Mic A,0.851,0.575
Aurora,0.952,0.231
Tight Around Her Throat She Slips Away,0.915,0.702
Vibrations on a String,0.858,0.674
Mothership Calls,0.968,0.24
Tak 5,0.924,0.258
Earthday ( John Tejada Remix ),0.854,0.859
Rico's Helly,0.919,0.571
The Storm - 2022 Remaster,0.733,0.634
on - ian o'brien mix,0.892,0.901
You're Mine - Mac & Ward Extended Remix Mixed,0.882,0.995
"Come to Me, Close Your Eyes and Lose Yourself Inside Me",0.803,0.796
Articulation,0.798,0.634
Tanuki,0.892,0.961
Heute,0.726,0.447
Samurai Masu Biitsu,0.677,0.892
Grains,0.912,0.0882
Hello,0.95,0.937
Cut U,0.651,0.691
Yellow Jumpsuit,0.828,0.938
Perspex,0.913,0.295
Hublander,0.672,0.555
Gravity,0.95,0.0701
Every Shiney Night,0.935,0.137
Lis Tail,0.599,0.709
Our Light,0.952,0.524
"Guns, Lots of Guns",0.83,0.686
Shooz Who,0.843,0.856
Orange Line,0.926,0.974
Toku,0.591,0.433
Xerrox Calypsoid 1,0.945,0.221
Jump Jet Tiger,0.854,0.572
Monomom - Live,0.91,0.156
Extract,0.859,0.22
Liquid Gel,0.889,0.586
Why? Why?,0.905,0.88
Luton,0.861,0.461
MyLoveILove,0.648,0.239
Epilion,0.834,0.865
Sink Lateral,0.947,0.401
Blinking,0.882,0.528
Berlin - Live,0.894,0.372
Caught in the Middle,0.806,0.359
Miso Shiru,0.939,0.986
Reaching Light,0.948,0.266
Untitled,0.905,0.819
Barbola Work,0.854,0.907
Undeniable Proof,0.916,0.0697
Bound By Your Smile,0.947,0.77
What Sorrow,0.927,0.289
Existenzmaximum,0.824,0.65
Bog's Basil & Curry Powder Potatos Recipe,0.901,0.821
People Without Mouths,0.865,0.743
You Were There,0.905,0.926
Vapor / Put Off_I Do It - Wechsel Garland remix,0.845,0.523
Schunkel,0.782,0.504
Still Here,0.855,0.525
Ocean Tides,0.653,0.259
Soul Star,0.76,0.578
Hidden Love,0.758,0.786
Siisx,0.942,0.204
My Veins Are Blocked / Rework,0.917,0.0662
Omnipresence,0.854,0.358
Pure,0.888,0.535
Shelter,0.944,0.0734
BORG,0.957,0.738
Dawsonia,0.896,0.23
The Set-up,0.902,0.329
Void,0.77,0.0809
1979 (On A Snowy February Day),0.91,0.119
Stones Throw,0.921,0.39
Waiting For Light,0.729,0.555
Ovals,0.947,0.206
A Day in a Life,0.955,0.743
かべの人,0.856,0.711
Parallax Neon,0.951,0.588
Saku,0.873,0.155
ランプのように,0.884,0.252
Babalon,0.907,0.662
Moon Maniac - 2021 Remastered,0.798,0.673
Infinite Lites (Original Mix),0.834,0.906
Tech10,0.9,0.932
Iera,0.843,0.667
Powder Puff - Charles Angels Mix,0.875,0.87
Scriptures,0.905,0.811
Cognitive Dissonance,0.816,0.415
Salomé IV,0.965,0.21
Leraine,0.919,0.619
Tree,0.873,0.127
Clarity,0.856,0.533
The End Is Nigh,0.798,0.36
F33LIN6 24K,0.841,0.942
Monday Morning Before Work,0.952,0.153
Asht,0.896,0.16
Love Glow,0.871,0.552
Sick Face,0.546,0.895
Kirakiraboshi,0.952,0.331
Midnight Light,0.969,0.839
Post,0.914,0.498
Love Rising,0.899,0.905
Rising Tide,0.906,0.227
TV River 2018,0.849,0.848
Vegas,0.62,0.613
Hinoki,0.88,0.327
Sirens for the Colour,0.92,0.341
Secret Pelle,0.526,0.25
Nord,0.92,0.423
Awaiting the Green Morning,0.662,0.417
Fried Banana 2018,0.833,0.886
Crab Nebula,0.843,0.917
Enna's Tears,0.964,0.142
Eyen,0.962,0.632
Zug Island,0.811,0.746
Stairs in Stars,0.963,0.277
"not seeing,",0.747,0.309
Corteo,0.942,0.0126
Seesoar,0.82,0.876
Trying To Find Home,0.709,0.919
Not Alone - ReeLLove Remix,0.782,0.791
Post Crow,0.862,0.694
Antique Bell,0.778,0.292
Orford Sentinel,0.911,0.407
Rittle Beta - Archive '99,0.811,0.828
7 8 - Archive '99,0.838,0.923
Marked Velotin,0.939,0.524
Post Hero,0.741,0.51
Push,0.884,0.761
Yippee Space Ghost,0.844,0.533
Stratus,0.764,0.863
Non Hoi,0.847,0.457
Elide - Peel Session,0.774,0.832
Comatose,0.84,0.508
Remorse,0.558,0.288
When,0.951,0.22
Oneness,0.875,0.655
cat step,0.859,0.656
You Are,0.852,0.496
Quartz,0.865,0.206
Some Unique Snowflake,0.907,0.585
Emulator,0.574,0.528
Lovers,0.844,0.32
Anaphora,0.79,0.594
Is Calm,0.893,0.458
Modul 1,0.871,0.896
Adora Skyline,0.97,0.831
Commuter,0.85,0.959
Ten,0.946,0.566
Evacuation,0.878,0.224
Has Been Trying Not To Wonder,0.663,0.532
Fossil Funk,0.803,0.957
Code Black,0.808,0.26
Secret Bb,0.868,0.35
広い世界,0.876,0.562
dansing queen,0.944,0.269
Secret Mersken,0.944,0.13
Professional Problem 2018,0.876,0.898
Natural Spectrum,0.866,0.418
Newsround,0.851,0.907
Beneath Fleeting Visions,0.868,0.632
You Are…,0.842,0.648
Nord Marathon,0.913,0.433
Waltzacid,0.87,0.904
Trans Forest Alignment,0.937,0.458
Sneaker,0.885,0.911
Afterning,0.888,0.76
Harmonic,0.535,0.867
Ccec,0.847,0.661
Camelot Pollution,0.815,0.857
Nok Tup,0.921,0.844
The Celebrity,0.687,0.685
Everybody - Original Mix,0.519,0.891
Monastic,0.948,0.263
Eva - Original Mix,0.597,0.44
owari no kisetsu,0.684,0.677
Unheard Melodies - Edit,0.95,0.529
Metabidiminished Icosahedron,0.752,0.758
One,0.969,0.613
April.#2 - Live,0.827,0.483
Panda,0.949,0.016
Airstrip One,0.907,0.557
Rhythm Variation 03,0.866,0.278
Streets,0.902,0.549
Pio - Mixed,0.869,0.336
Starlings,0.722,0.955
Red Kite,0.913,0.363
Les Trois Graces,0.915,0.348
Time to Find Me (Come Inside),0.982,0.425
Mentok 1,0.947,0.945
"Not Here, Not Tonight",0.853,0.43
Big Trouble in Mega Tokyo,0.74,0.808
Song Of The Sleeping Forest,0.867,0.702
Bell Buoy,0.858,0.466
めばえ,0.929,0.571
Uni Tra,0.867,0.458
Shut Down,0.957,0.978
Tayutafu,0.881,0.11
We Discordians (Must Stick Apart),0.597,0.592
Advance,0.722,0.531
2 creams,0.857,0.525
Into Gestalt,0.928,0.598
イスデタビ,0.929,0.587
Bubbles,0.619,0.566
Tiny Reminder No. 1,0.938,0.494
Uni Dna,0.827,0.702
Mentok 1,0.651,0.848
HYbr:ID oval p-dance,0.938,0.453
Unexpected Situations - rh re-arrange,0.973,0.091
Yippie,0.86,0.751
Rusting Cars & Wild Flowers - 2011 Remaster,0.836,0.407
TAPR,0.904,0.915
rho2,0.633,0.724
Earth,0.861,0.408
Poppy Seed - Boards Of Canada Remix,0.89,0.415
It's Very Sunny - Mixed,0.579,0.605
Afterthought,0.648,0.175
K-Cloche,0.924,0.198
Big Guy Punch,0.845,0.996
Mur,0.927,0.138
Arson,0.817,0.282
Pendulus,0.89,0.829
Avalanche,0.82,0.512
Pull Seven,0.893,0.687
Durusey,0.849,0.406
Holiday 88,0.879,0.707
